,name,code
0,浦发银行,600000
1,白云机场,600004
2,上海机场,600009
3,包钢股份,600010
4,华能国际,600011
5,华夏银行,600015
6,民生银行,600016
7,上港集团,600018
8,宝钢股份,600019
9,浙能电力,600023
10,华能水电,600025
11,华电国际,600027
12,中国石化,600028
13,南方航空,600029
14,中信证券,600030
15,三一重工,600031
16,招商银行,600036
17,中直股份,600038
18,保利地产,600048
19,中国联通,600050
20,国投资本,600061
21,宇通客车,600066
22,葛洲坝,600068
23,同仁堂,600085
24,特变电工,600089
25,同方股份,600100
26,上汽集团,600104
27,国金证券,600109
28,北方稀土,600111
29,东方航空,600115
30,中国卫星,600118
31,建发股份,600153
32,上海建工,600170
33,中国巨石,600176
34,雅戈尔,600177
35,生益科技,600183
36,兖州煤业,600188
37,复星医药,600196
38,新湖中宝,600208
39,南山铝业,600219
40,海航控股,600221
41,圆通速递,600233
42,航天信息,600271
43,恒瑞医药,600276
44,广汇汽车,600297
45,安迪苏,600299
46,万华化学,600309
47,白云山,600332
48,华夏幸福,600340
49,恒力石化,600346
50,浙江龙盛,600352
51,江西铜业,600362
52,西南证券,600369
53,中航电子,600372
54,金地集团,600383
55,五矿资本,600390
56,海澜之家,600398
57,国电南瑞,600406
58,片仔癀,600436
59,通威股份,600438
60,中国动力,600482
61,亨通光电,600487
62,中金黄金,600489
63,烽火通信,600498
64,方大炭素,600516
65,贵州茅台,600519
66,中天科技,600522
67,天士力,600535
68,山东黄金,600547
69,济川药业,600566
70,恒生电子,600570
71,海油工程,600583
72,海螺水泥,600585
73,用友网络,600588
74,绿地控股,600606
75,东方明珠,600637
76,豫园股份,600655
77,福耀玻璃,600660
78,陆家嘴,600663
79,川投能源,600674
80,海尔智家,600690
81,三安光电,600703
82,中航资本,600705
83,北汽蓝谷,600733
84,华域汽车,600741
85,中航沈飞,600760
86,国电电力,600795
87,山西汾酒,600809
88,安信信托,600816
89,海通证券,600837
90,上海临港,600848
91,通化东宝,600867
92,国投电力,600886
93,伊利股份,600887
94,航发动力,600893
95,长江电力,600900
96,江苏银行,600919
97,杭州银行,600926
98,西安银行,600928
99,东方证券,600958
100,海油发展,600968
101,中国电影,600977
102,宝丰能源,600989
103,九州通,600998
104,招商证券,600999
105,大秦铁路,601006
106,南京银行,601009
107,隆基股份,601012
108,宁波港,601018
109,春秋航空,601021
110,中信建投,601066
111,中国神华,601088
112,财通证券,601108
113,中国国航,601111
114,中国化学,601117
115,工业富联,601138
116,新城控股,601155
117,天风证券,601162
118,兴业银行,601166
119,北京银行,601169
120,中国铁建,601186
121,东兴证券,601198
122,国泰君安,601211
123,白银有色,601212
124,君正集团,601216
125,陕西煤业,601225
126,上海银行,601229
127,红塔证券,601236
128,广汽集团,601238
129,农业银行,601288
130,青岛港,601298
131,中国平安,601318
132,中国人保,601319
133,交通银行,601328
134,新华保险,601336
135,三六零,601360
136,兴业证券,601377
137,中国中铁,601390
138,工商银行,601398
139,东吴证券,601555
140,长沙银行,601577
141,中国铝业,601600
142,中国太保,601601
143,上海医药,601607
144,中国中冶,601618
145,中国人寿,601628
146,长城汽车,601633
147,中国建筑,601668
148,中国电建,601669
149,华泰证券,601688
150,中国卫通,601698
151,上海电气,601727
152,中国中车,601766
153,光大证券,601788
154,中国交建,601800
155,中海油服,601808
156,光大银行,601818
157,美凯龙,601828
158,成都银行,601838
159,中国石油,601857
160,正泰电器,601877
161,浙商证券,601878
162,中国银河,601881
163,中国国旅,601888
164,中煤能源,601898
165,紫金矿业,601899
166,方正证券,601901
167,中远海控,601919
168,永辉超市,601933
169,建设银行,601939
170,中国核电,601985
171,中国银行,601988
172,中国重工,601989
173,金隅集团,601992
174,贵阳银行,601997
175,中信银行,601998
176,中科曙光,603019
177,养元饮品,603156
178,汇顶科技,603160
179,药明康德,603259
180,合盛硅业,603260
181,海天味业,603288
182,韦尔股份,603501
183,华友钴业,603799
184,欧派家居,603833
185,晨光文具,603899
186,兆易创新,603986
187,洛阳钼业,603993
188,平安银行,000001
189,万科Ａ,000002
190,中兴通讯,000063
191,华侨城Ａ,000069
192,TCL科技,000100
193,中联重科,000157
194,申万宏源,000166
195,美的集团,000333
196,潍柴动力,000338
197,东旭光电,000413
198,渤海租赁,000415
199,东阿阿胶,000423
200,徐工机械,000425
201,云南白药,000538
202,泸州老窖,000568
203,古井贡酒,000596
204,长安汽车,000625
205,天茂集团,000627
206,攀钢钒钛,000629
207,铜陵有色,000630
208,格力电器,000651
209,金科股份,000656
210,长春高新,000661
211,阳光城,000671
212,恒逸石化,000703
213,河钢股份,000709
214,美锦能源,000723
215,京东方A,000725
216,国元证券,000728
217,中航飞机,000768
218,广发证券,000776
219,长江证券,000783
220,北新建材,000786
221,五 粮 液,000858
222,新 希 望,000876
223,双汇发展,000895
224,鞍钢股份,000898
225,紫光股份,000938
226,中南建设,000961
227,华东医药,000963
228,招商蛇口,001979
229,新和成,002001
230,华兰生物,002007
231,大族激光,002008
232,传化智联,002010
233,苏宁易购,002024
234,分众传媒,002027
235,苏泊尔,002032
236,美年健康,002044
237,三花智控,002050
238,金螳螂,002081
239,韵达股份,002120
240,宁波银行,002142
241,荣盛发展,002146
242,石基信息,002153
243,中航光电,002179
244,金风科技,002202
245,科大讯飞,002230
246,大华股份,002236
247,歌尔股份,002241
248,上海莱士,002252
249,东方雨虹,002271
250,信立泰,002294
251,洋河股份,002304
252,海大集团,002311
253,顺丰控股,002352
254,广联达,002410
255,延安必康,002411
256,海康威视,002415
257,科伦药业,002422
258,欧菲光,002456
259,赣锋锂业,002460
260,天齐锂业,002466
261,申通快递,002468
262,立讯精密,002475
263,荣盛石化,002493
264,老板电器,002508
265,三七互娱,002555
266,巨人网络,002558
267,比亚迪,002594
268,龙蟒佰利,002601
269,世纪华通,002602
270,中公教育,002607
271,完美世界,002624
272,西部证券,002673
273,牧原股份,002714
274,国信证券,002736
275,万达电影,002739
276,康弘药业,002773
277,视源股份,002841
278,深南电路,002916
279,鹏鼎控股,002938
280,长城证券,002939
281,华林证券,002945
282,青农商行,002958
283,乐普医疗,300003
284,爱尔眼科,300015
285,网宿科技,300017
286,机器人,300024
287,同花顺,300033
288,东方财富,300059
289,碧水源,300070
290,智飞生物,300122
291,汇川技术,300124
292,信维通信,300136
293,沃森生物,300142
294,宋城演艺,300144
295,泰格医药,300347
296,三环集团,300408
297,芒果超媒,300413
298,蓝思科技,300433
299,温氏股份,300498
